,Match Number,Venue,Team Bat First,1st Innings Score,Team Bat Second,2nd Innings Score,Result,Scores - Players (Team Bat First),Over by Over Score (1st Innings),Extras (Team Bat First),Fall of Wickets (Team Bat First),Bowling (Team Bowling First),Scores - Players (Team Bat Second),Over by Over Score (2nd Innings),Extras (Team Bat Second),Fall of Wickets (Team Bat Second),Bowling (Team Bowling Second)
0,1st Match (N),Chennai ,Royal Challengers Bengaluru,173/6,Chennai Super Kings,"(18.4/20 ov, T:174) 176/4",CSK won by 6 wickets (with 8 balls remaining),"[{'name': 'Virat Kohli', 'dismissal': 'c Ravindra b Mustafizur Rahman', 'runs': '21', 'balls': '20', 'fours': '0', 'sixes': '1', 'strike_rate': '105.00'}, {'name': 'Faf du Plessis(c)', 'dismissal': 'c Ravindra b Mustafizur Rahman', 'runs': '35', 'balls': '23', 'fours': '8', 'sixes': '0', 'strike_rate': '152.17'}, {'name': 'Rajat Patidar', 'dismissal': 'c †Dhoni b Mustafizur Rahman', 'runs': '0', 'balls': '3', 'fours': '0', 'sixes': '0', 'strike_rate': '0.00'}, {'name': 'Glenn Maxwell', 'dismissal': 'c †Dhoni b Chahar', 'runs': '0', 'balls': '1', 'fours': '0', 'sixes': '0', 'strike_rate': '0.00'}, {'name': 'Cameron Green', 'dismissal': ' b Mustafizur Rahman', 'runs': '18', 'balls': '22', 'fours': '1', 'sixes': '0', 'strike_rate': '81.81'}, {'name': 'Anuj Rawat†', 'dismissal': 'run out (†Dhoni)', 'runs': '48', 'balls': '25', 'fours': '4', 'sixes': '3', 'strike_rate': '192.00'}, {'name': 'Dinesh Karthik', 'dismissal': 'not out ', 'runs': '38', 'balls': '26', 'fours': '3', 'sixes': '2', 'strike_rate': '146.15'}]","[{'Over': '1', 'Runs': '7', 'Wickets': '0'}, {'Over': '2', 'Runs': '16', 'Wickets': '0'}, {'Over': '3', 'Runs': '33', 'Wickets': '0'}, {'Over': '4', 'Runs': '37', 'Wickets': '0'}, {'Over': '5', 'Runs': '41', 'Wickets': '2'}, {'Over': '6', 'Runs': '42', 'Wickets': '3'}, {'Over': '7', 'Runs': '48', 'Wickets': '3'}, {'Over': '8', 'Runs': '55', 'Wickets': '3'}, {'Over': '9', 'Runs': '63', 'Wickets': '3'}, {'Over': '10', 'Runs': '75', 'Wickets': '3'}, {'Over': '11', 'Runs': '76', 'Wickets': '3'}, {'Over': '12', 'Runs': '79', 'Wickets': '5'}, {'Over': '13', 'Runs': '83', 'Wickets': '5'}, {'Over': '14', 'Runs': '90', 'Wickets': '5'}, {'Over': '15', 'Runs': '102', 'Wickets': '5'}, {'Over': '16', 'Runs': '116', 'Wickets': '5'}, {'Over': '17', 'Runs': '123', 'Wickets': '5'}, {'Over': '18', 'Runs': '148', 'Wickets': '5'}, {'Over': '19', 'Runs': '164', 'Wickets': '5'}, {'Over': '20', 'Runs': '173', 'Wickets': '6'}]","{'b': 1, 'lb': 2, 'w': 10}","[['1-41', '(Faf du Plessis, 4.3 ov)'], ['2-41', '(Rajat Patidar, 4.6 ov)'], ['3-42', '(Glenn Maxwell, 5.3 ov)'], ['4-77', '(Virat Kohli, 11.2 ov)'], ['5-78', '(Cameron Green, 11.4 ov)'], ['6-173', '(Anuj Rawat, 19.6 ov)']]","[{'name': 'Deepak Chahar', 'overs': '4', 'maiden': '0', 'runs': '37', 'wicket': '1', 'economy': '9.25', '0s': '10', '4s': '7', '6s': '0', 'WD': '2', 'NB': '0'}, {'name': 'Tushar Deshpande', 'overs': '4', 'maiden': '0', 'runs': '47', 'wicket': '0', 'economy': '11.75', '0s': '10', '4s': '4', '6s': '3', 'WD': '5', 'NB': '0'}, {'name': 'Maheesh Theekshana', 'overs': '4', 'maiden': '0', 'runs': '36', 'wicket': '0', 'economy': '9.00', '0s': '4', '4s': '1', '6s': '2', 'WD': '0', 'NB': '0'}, {'name': 'Mustafizur Rahman', 'overs': '4', 'maiden': '0', 'runs': '29', 'wicket': '4', 'economy': '7.25', '0s': '12', '4s': '3', '6s': '1', 'WD': '2', 'NB': '0'}, {'name': 'Ravindra Jadeja', 'overs': '4', 'maiden': '0', 'runs': '21', 'wicket': '0', 'economy': '5.25', '0s': '8', '4s': '1', '6s': '0', 'WD': '0', 'NB': '0'}]","[{'name': 'Ruturaj Gaikwad(c)', 'dismissal': 'c Green b Yash Dayal', 'runs': '15', 'balls': '15', 'fours': '3', 'sixes': '0', 'strike_rate': '100.00'}, {'name': 'Rachin Ravindra', 'dismissal': 'c Patidar b Sharma', 'runs': '37', 'balls': '15', 'fours': '3', 'sixes': '3', 'strike_rate': '246.66'}, {'name': 'Ajinkya Rahane', 'dismissal': 'c Maxwell b Green', 'runs': '27', 'balls': '19', 'fours': '0', 'sixes': '2', 'strike_rate': '142.10'}, {'name': 'Daryl Mitchell', 'dismissal': 'c Patidar b Green', 'runs': '22', 'balls': '18', 'fours': '0', 'sixes': '2', 'strike_rate': '122.22'}, {'name': 'Shivam Dube', 'dismissal': 'not out ', 'runs': '34', 'balls': '28', 'fours': '4', 'sixes': '1', 'strike_rate': '121.42'}, {'name': 'Ravindra Jadeja', 'dismissal': 'not out ', 'runs': '25', 'balls': '17', 'fours': '0', 'sixes': '1', 'strike_rate': '147.05'}]","[{'Over': '1', 'Runs': '8', 'Wickets': '0'}, {'Over': '2', 'Runs': '13', 'Wickets': '0'}, {'Over': '3', 'Runs': '28', 'Wickets': '0'}, {'Over': '4', 'Runs': '38', 'Wickets': '1'}, {'Over': '5', 'Runs': '49', 'Wickets': '1'}, {'Over': '6', 'Runs': '62', 'Wickets': '1'}, {'Over': '7', 'Runs': '71', 'Wickets': '2'}, {'Over': '8', 'Runs': '73', 'Wickets': '2'}, {'Over': '9', 'Runs': '88', 'Wickets': '2'}, {'Over': '10', 'Runs': '92', 'Wickets': '2'}, {'Over': '11', 'Runs': '102', 'Wickets': '3'}, {'Over': '12', 'Runs': '109', 'Wickets': '3'}, {'Over': '13', 'Runs': '114', 'Wickets': '4'}, {'Over': '14', 'Runs': '121', 'Wickets': '4'}, {'Over': '15', 'Runs': '128', 'Wickets': '4'}, {'Over': '16', 'Runs': '140', 'Wickets': '4'}, {'Over': '17', 'Runs': '156', 'Wickets': '4'}, {'Over': '18', 'Runs': '164', 'Wickets': '4'}, {'Over': '19', 'Runs': '176', 'Wickets': '4'}]","{'b': 4, 'lb': 4, 'w': 8}","[['1-38', '(Ruturaj Gaikwad, 3.6 ov)'], ['2-71', '(Rachin Ravindra, 6.6 ov)'], ['3-99', '(Ajinkya Rahane, 10.2 ov)'], ['4-110', '(Daryl Mitchell, 12.3 ov)']]","[{'name': 'Mohammed Siraj', 'overs': '4', 'maiden': '0', 'runs': '38', 'wicket': '0', 'economy': '9.50', '0s': '9', '4s': '5', '6s': '1', 'WD': '1', 'NB': '0'}, {'name': 'Yash Dayal', 'overs': '3', 'maiden': '0', 'runs': '28', 'wicket': '1', 'economy': '9.33', '0s': '8', '4s': '3', '6s': '1', 'WD': '0', 'NB': '0'}, {'name': 'Alzarri Joseph', 'overs': '3.4', 'maiden': '0', 'runs': '38', 'wicket': '0', 'economy': '10.36', '0s': '5', '4s': '1', '6s': '2', 'WD': '4', 'NB': '0'}, {'name': 'Karn Sharma', 'overs': '2', 'maiden': '0', 'runs': '24', 'wicket': '1', 'economy': '12.00', '0s': '4', '4s': '0', '6s': '3', 'WD': '0', 'NB': '0'}, {'name': 'Mayank Dagar', 'overs': '2', 'maiden': '0', 'runs': '6', 'wicket': '0', 'economy': '3.00', '0s': '6', '4s': '0', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Cameron Green', 'overs': '3', 'maiden': '0', 'runs': '27', 'wicket': '2', 'economy': '9.00', '0s': '5', '4s': '1', '6s': '1', 'WD': '3', 'NB': '0'}, {'name': 'Glenn Maxwell', 'overs': '1', 'maiden': '0', 'runs': '7', 'wicket': '0', 'economy': '7.00', '0s': '4', '4s': '0', '6s': '1', 'WD': '0', 'NB': '0'}]"
1,2nd Match (D/N),Mullanpur ,Delhi Capitals,174/9,Punjab Kings,"(19.2/20 ov, T:175) 177/6",PBKS won by 4 wickets (with 4 balls remaining),"[{'name': 'David Warner', 'dismissal': 'c †Sharma b Patel', 'runs': '29', 'balls': '21', 'fours': '3', 'sixes': '2', 'strike_rate': '138.09'}, {'name': 'Mitchell Marsh', 'dismissal': 'c Chahar b Arshdeep Singh', 'runs': '20', 'balls': '12', 'fours': '2', 'sixes': '2', 'strike_rate': '166.66'}, {'name': 'Shai Hope', 'dismissal': 'c Harpreet Brar b Rabada', 'runs': '33', 'balls': '25', 'fours': '2', 'sixes': '2', 'strike_rate': '132.00'}, {'name': 'Rishabh Pant(c)†', 'dismissal': 'c Bairstow b Patel', 'runs': '18', 'balls': '13', 'fours': '2', 'sixes': '0', 'strike_rate': '138.46'}, {'name': 'Ricky Bhui', 'dismissal': 'c †Sharma b Harpreet Brar', 'runs': '3', 'balls': '7', 'fours': '0', 'sixes': '0', 'strike_rate': '42.85'}, {'name': 'Tristan Stubbs', 'dismissal': 'c Shashank Singh b Chahar', 'runs': '5', 'balls': '8', 'fours': '0', 'sixes': '0', 'strike_rate': '62.50'}, {'name': 'Axar Patel', 'dismissal': 'run out (sub [T Thyagarajan]/†Sharma)', 'runs': '21', 'balls': '13', 'fours': '2', 'sixes': '1', 'strike_rate': '161.53'}, {'name': 'Sumit Kumar', 'dismissal': 'c †Sharma b Arshdeep Singh', 'runs': '2', 'balls': '9', 'fours': '0', 'sixes': '0', 'strike_rate': '22.22'}, {'name': 'Abishek Porel', 'dismissal': 'not out ', 'runs': '32', 'balls': '10', 'fours': '4', 'sixes': '2', 'strike_rate': '320.00'}, {'name': 'Kuldeep Yadav', 'dismissal': 'run out (Shashank Singh/Patel)', 'runs': '1', 'balls': '2', 'fours': '0', 'sixes': '0', 'strike_rate': '50.00'}]","[{'Over': '1', 'Runs': '10', 'Wickets': '0'}, {'Over': '2', 'Runs': '21', 'Wickets': '0'}, {'Over': '3', 'Runs': '33', 'Wickets': '0'}, {'Over': '4', 'Runs': '40', 'Wickets': '1'}, {'Over': '5', 'Runs': '51', 'Wickets': '1'}, {'Over': '6', 'Runs': '54', 'Wickets': '1'}, {'Over': '7', 'Runs': '68', 'Wickets': '1'}, {'Over': '8', 'Runs': '74', 'Wickets': '2'}, {'Over': '9', 'Runs': '79', 'Wickets': '2'}, {'Over': '10', 'Runs': '86', 'Wickets': '2'}, {'Over': '11', 'Runs': '95', 'Wickets': '3'}, {'Over': '12', 'Runs': '103', 'Wickets': '3'}, {'Over': '13', 'Runs': '111', 'Wickets': '4'}, {'Over': '14', 'Runs': '117', 'Wickets': '5'}, {'Over': '15', 'Runs': '124', 'Wickets': '5'}, {'Over': '16', 'Runs': '128', 'Wickets': '6'}, {'Over': '17', 'Runs': '137', 'Wickets': '6'}, {'Over': '18', 'Runs': '146', 'Wickets': '7'}, {'Over': '19', 'Runs': '149', 'Wickets': '8'}, {'Over': '20', 'Runs': '174', 'Wickets': '9'}]","{'lb': 6, 'w': 4}","[['1-39', '(Mitchell Marsh, 3.2 ov)'], ['2-74', '(David Warner, 7.6 ov)'], ['3-94', '(Shai Hope, 10.4 ov)'], ['4-111', '(Rishabh Pant, 12.4 ov)'], ['5-111', '(Ricky Bhui, 13.2 ov)'], ['6-128', '(Tristan Stubbs, 15.4 ov)'], ['7-138', '(Axar Patel, 17.1 ov)'], ['8-147', '(Sumit Kumar, 18.3 ov)'], ['9-174', '(Kuldeep Yadav, 19.6 ov)']]","[{'name': 'Sam Curran', 'overs': '1', 'maiden': '0', 'runs': '10', 'wicket': '0', 'economy': '10.00', '0s': '3', '4s': '2', '6s': '0', 'WD': '1', 'NB': '0'}, {'name': 'Arshdeep Singh', 'overs': '4', 'maiden': '0', 'runs': '28', 'wicket': '2', 'economy': '7.00', '0s': '15', '4s': '2', '6s': '2', 'WD': '2', 'NB': '0'}, {'name': 'Kagiso Rabada', 'overs': '4', 'maiden': '0', 'runs': '36', 'wicket': '1', 'economy': '9.00', '0s': '12', '4s': '1', '6s': '4', 'WD': '1', 'NB': '0'}, {'name': 'Harpreet Brar', 'overs': '3', 'maiden': '0', 'runs': '14', 'wicket': '1', 'economy': '4.66', '0s': '7', '4s': '1', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Rahul Chahar', 'overs': '4', 'maiden': '0', 'runs': '33', 'wicket': '1', 'economy': '8.25', '0s': '6', '4s': '3', '6s': '1', 'WD': '0', 'NB': '0'}, {'name': 'Harshal Patel', 'overs': '4', 'maiden': '0', 'runs': '47', 'wicket': '2', 'economy': '11.75', '0s': '7', '4s': '6', '6s': '2', 'WD': '0', 'NB': '0'}]","[{'name': 'Shikhar Dhawan(c)', 'dismissal': ' b Sharma', 'runs': '22', 'balls': '16', 'fours': '4', 'sixes': '0', 'strike_rate': '137.50'}, {'name': 'Jonny Bairstow', 'dismissal': 'run out (Sharma)', 'runs': '9', 'balls': '3', 'fours': '2', 'sixes': '0', 'strike_rate': '300.00'}, {'name': 'Prabhsimran Singh', 'dismissal': 'c Warner b Kuldeep Yadav', 'runs': '26', 'balls': '17', 'fours': '5', 'sixes': '0', 'strike_rate': '152.94'}, {'name': 'Sam Curran', 'dismissal': ' b Ahmed', 'runs': '63', 'balls': '47', 'fours': '6', 'sixes': '1', 'strike_rate': '134.04'}, {'name': 'Jitesh Sharma†', 'dismissal': 'st †Pant b Kuldeep Yadav', 'runs': '9', 'balls': '9', 'fours': '1', 'sixes': '0', 'strike_rate': '100.00'}, {'name': 'Liam Livingstone', 'dismissal': 'not out ', 'runs': '38', 'balls': '21', 'fours': '2', 'sixes': '3', 'strike_rate': '180.95'}, {'name': 'Shashank Singh', 'dismissal': 'c †Pant b Ahmed', 'runs': '0', 'balls': '1', 'fours': '0', 'sixes': '0', 'strike_rate': '0.00'}, {'name': 'Harpreet Brar', 'dismissal': 'not out ', 'runs': '2', 'balls': '2', 'fours': '0', 'sixes': '0', 'strike_rate': '100.00'}]","[{'Over': '1', 'Runs': '17', 'Wickets': '0'}, {'Over': '2', 'Runs': '25', 'Wickets': '0'}, {'Over': '3', 'Runs': '34', 'Wickets': '0'}, {'Over': '4', 'Runs': '42', 'Wickets': '2'}, {'Over': '5', 'Runs': '53', 'Wickets': '2'}, {'Over': '6', 'Runs': '60', 'Wickets': '2'}, {'Over': '7', 'Runs': '67', 'Wickets': '2'}, {'Over': '8', 'Runs': '75', 'Wickets': '2'}, {'Over': '9', 'Runs': '83', 'Wickets': '2'}, {'Over': '10', 'Runs': '87', 'Wickets': '3'}, {'Over': '11', 'Runs': '98', 'Wickets': '3'}, {'Over': '12', 'Runs': '103', 'Wickets': '4'}, {'Over': '13', 'Runs': '108', 'Wickets': '4'}, {'Over': '14', 'Runs': '112', 'Wickets': '4'}, {'Over': '15', 'Runs': '130', 'Wickets': '4'}, {'Over': '16', 'Runs': '136', 'Wickets': '4'}, {'Over': '17', 'Runs': '147', 'Wickets': '4'}, {'Over': '18', 'Runs': '165', 'Wickets': '4'}, {'Over': '19', 'Runs': '169', 'Wickets': '6'}, {'Over': '20', 'Runs': '177', 'Wickets': '6'}]","{'lb': 2, 'w': 6}","[['1-34', '(Shikhar Dhawan, 3.1 ov)'], ['2-42', '(Jonny Bairstow, 3.5 ov)'], ['3-84', '(Prabhsimran Singh, 9.2 ov)'], ['4-100', '(Jitesh Sharma, 11.3 ov)'], ['5-167', '(Sam Curran, 18.3 ov)'], ['6-167', '(Shashank Singh, 18.4 ov)']]","[{'name': 'Khaleel Ahmed', 'overs': '4', 'maiden': '0', 'runs': '43', 'wicket': '2', 'economy': '10.75', '0s': '7', '4s': '8', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Ishant Sharma', 'overs': '2', 'maiden': '0', 'runs': '16', 'wicket': '1', 'economy': '8.00', '0s': '8', '4s': '3', '6s': '0', 'WD': '3', 'NB': '0'}, {'name': 'Mitchell Marsh', 'overs': '4', 'maiden': '0', 'runs': '52', 'wicket': '0', 'economy': '13.00', '0s': '5', '4s': '5', '6s': '3', 'WD': '1', 'NB': '0'}, {'name': 'Axar Patel', 'overs': '4', 'maiden': '0', 'runs': '25', 'wicket': '0', 'economy': '6.25', '0s': '5', '4s': '1', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Kuldeep Yadav', 'overs': '4', 'maiden': '0', 'runs': '20', 'wicket': '2', 'economy': '5.00', '0s': '7', '4s': '1', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Sumit Kumar', 'overs': '1.2', 'maiden': '0', 'runs': '19', 'wicket': '0', 'economy': '14.25', '0s': '2', '4s': '2', '6s': '1', 'WD': '2', 'NB': '0'}]"
2,3rd Match (N),Eden Gardens ,Kolkata Knight Riders,208/7,Sunrisers Hyderabad,"(20 ov, T:209) 204/7",KKR won by 4 runs,"[{'name': 'Phil Salt†', 'dismissal': 'c Jansen b Markande', 'runs': '54', 'balls': '40', 'fours': '3', 'sixes': '3', 'strike_rate': '135.00'}, {'name': 'Sunil Narine', 'dismissal': 'run out (Shahbaz Ahmed)', 'runs': '2', 'balls': '4', 'fours': '0', 'sixes': '0', 'strike_rate': '50.00'}, {'name': 'Venkatesh Iyer', 'dismissal': 'c Jansen b Natarajan', 'runs': '7', 'balls': '5', 'fours': '1', 'sixes': '0', 'strike_rate': '140.00'}, {'name': 'Shreyas Iyer(c)', 'dismissal': 'c Cummins b Natarajan', 'runs': '0', 'balls': '2', 'fours': '0', 'sixes': '0', 'strike_rate': '0.00'}, {'name': 'Nitish Rana', 'dismissal': 'c Tripathi b Markande', 'runs': '9', 'balls': '11', 'fours': '1', 'sixes': '0', 'strike_rate': '81.81'}, {'name': 'Ramandeep Singh', 'dismissal': 'c Markande b Cummins', 'runs': '35', 'balls': '17', 'fours': '1', 'sixes': '4', 'strike_rate': '205.88'}, {'name': 'Rinku Singh', 'dismissal': 'c Markram b Natarajan', 'runs': '23', 'balls': '15', 'fours': '3', 'sixes': '0', 'strike_rate': '153.33'}, {'name': 'Andre Russell', 'dismissal': 'not out ', 'runs': '64', 'balls': '25', 'fours': '3', 'sixes': '7', 'strike_rate': '256.00'}, {'name': 'Mitchell Starc', 'dismissal': 'not out ', 'runs': '6', 'balls': '3', 'fours': '1', 'sixes': '0', 'strike_rate': '200.00'}]","[{'Over': '1', 'Runs': '3', 'Wickets': '0'}, {'Over': '2', 'Runs': '23', 'Wickets': '1'}, {'Over': '3', 'Runs': '27', 'Wickets': '1'}, {'Over': '4', 'Runs': '32', 'Wickets': '3'}, {'Over': '5', 'Runs': '39', 'Wickets': '3'}, {'Over': '6', 'Runs': '43', 'Wickets': '3'}, {'Over': '7', 'Runs': '49', 'Wickets': '3'}, {'Over': '8', 'Runs': '53', 'Wickets': '4'}, {'Over': '9', 'Runs': '66', 'Wickets': '4'}, {'Over': '10', 'Runs': '77', 'Wickets': '4'}, {'Over': '11', 'Runs': '91', 'Wickets': '4'}, {'Over': '12', 'Runs': '105', 'Wickets': '4'}, {'Over': '13', 'Runs': '113', 'Wickets': '5'}, {'Over': '14', 'Runs': '119', 'Wickets': '6'}, {'Over': '15', 'Runs': '123', 'Wickets': '6'}, {'Over': '16', 'Runs': '141', 'Wickets': '6'}, {'Over': '17', 'Runs': '159', 'Wickets': '6'}, {'Over': '18', 'Runs': '174', 'Wickets': '6'}, {'Over': '19', 'Runs': '200', 'Wickets': '6'}, {'Over': '20', 'Runs': '208', 'Wickets': '7'}]","{'nb': 2, 'w': 6}","[['1-23', '(Sunil Narine, 1.6 ov)'], ['2-32', '(Venkatesh Iyer, 3.3 ov)'], ['3-32', '(Shreyas Iyer, 3.5 ov)'], ['4-51', '(Nitish Rana, 7.3 ov)'], ['5-105', '(Ramandeep Singh, 12.1 ov)'], ['6-119', '(Phil Salt, 13.5 ov)'], ['7-200', '(Rinku Singh, 19.1 ov)']]","[{'name': 'Bhuvneshwar Kumar', 'overs': '4', 'maiden': '0', 'runs': '51', 'wicket': '0', 'economy': '12.75', '0s': '7', '4s': '4', '6s': '3', 'WD': '2', 'NB': '1'}, {'name': 'Marco Jansen', 'overs': '3', 'maiden': '0', 'runs': '40', 'wicket': '0', 'economy': '13.33', '0s': '5', '4s': '1', '6s': '4', 'WD': '1', 'NB': '0'}, {'name': 'T Natarajan', 'overs': '4', 'maiden': '0', 'runs': '32', 'wicket': '3', 'economy': '8.00', '0s': '9', '4s': '3', '6s': '1', 'WD': '3', 'NB': '0'}, {'name': 'Pat Cummins', 'overs': '4', 'maiden': '0', 'runs': '32', 'wicket': '1', 'economy': '8.00', '0s': '8', '4s': '3', '6s': '1', 'WD': '0', 'NB': '0'}, {'name': 'Mayank Markande', 'overs': '4', 'maiden': '0', 'runs': '39', 'wicket': '2', 'economy': '9.75', '0s': '10', '4s': '1', '6s': '4', 'WD': '0', 'NB': '0'}, {'name': 'Shahbaz Ahmed', 'overs': '1', 'maiden': '0', 'runs': '14', 'wicket': '0', 'economy': '14.00', '0s': '2', '4s': '1', '6s': '1', 'WD': '0', 'NB': '1'}]","[{'name': 'Mayank Agarwal', 'dismissal': 'c Singh b Harshit Rana', 'runs': '32', 'balls': '21', 'fours': '4', 'sixes': '1', 'strike_rate': '152.38'}, {'name': 'Abhishek Sharma', 'dismissal': 'c Varun b Russell', 'runs': '32', 'balls': '19', 'fours': '4', 'sixes': '2', 'strike_rate': '168.42'}, {'name': 'Rahul Tripathi', 'dismissal': 'c Harshit Rana b Narine', 'runs': '20', 'balls': '20', 'fours': '0', 'sixes': '1', 'strike_rate': '100.00'}, {'name': 'Aiden Markram', 'dismissal': 'c Singh b Varun', 'runs': '18', 'balls': '13', 'fours': '2', 'sixes': '0', 'strike_rate': '138.46'}, {'name': 'Heinrich Klaasen†', 'dismissal': 'c Suyash Sharma b Harshit Rana', 'runs': '63', 'balls': '29', 'fours': '0', 'sixes': '8', 'strike_rate': '217.24'}, {'name': 'Abdul Samad', 'dismissal': 'c VR Iyer b Russell', 'runs': '15', 'balls': '11', 'fours': '1', 'sixes': '1', 'strike_rate': '136.36'}, {'name': 'Shahbaz Ahmed', 'dismissal': 'c SS Iyer b Harshit Rana', 'runs': '16', 'balls': '5', 'fours': '1', 'sixes': '2', 'strike_rate': '320.00'}, {'name': 'Marco Jansen', 'dismissal': 'not out ', 'runs': '1', 'balls': '1', 'fours': '0', 'sixes': '0', 'strike_rate': '100.00'}, {'name': 'Pat Cummins(c)', 'dismissal': 'not out ', 'runs': '0', 'balls': '1', 'fours': '0', 'sixes': '0', 'strike_rate': '0.00'}]","[{'Over': '1', 'Runs': '12', 'Wickets': '0'}, {'Over': '2', 'Runs': '17', 'Wickets': '0'}, {'Over': '3', 'Runs': '27', 'Wickets': '0'}, {'Over': '4', 'Runs': '40', 'Wickets': '0'}, {'Over': '5', 'Runs': '58', 'Wickets': '0'}, {'Over': '6', 'Runs': '65', 'Wickets': '1'}, {'Over': '7', 'Runs': '67', 'Wickets': '1'}, {'Over': '8', 'Runs': '77', 'Wickets': '2'}, {'Over': '9', 'Runs': '85', 'Wickets': '2'}, {'Over': '10', 'Runs': '99', 'Wickets': '2'}, {'Over': '11', 'Runs': '105', 'Wickets': '2'}, {'Over': '12', 'Runs': '108', 'Wickets': '3'}, {'Over': '13', 'Runs': '111', 'Wickets': '4'}, {'Over': '14', 'Runs': '115', 'Wickets': '4'}, {'Over': '15', 'Runs': '128', 'Wickets': '4'}, {'Over': '16', 'Runs': '133', 'Wickets': '4'}, {'Over': '17', 'Runs': '149', 'Wickets': '5'}, {'Over': '18', 'Runs': '170', 'Wickets': '5'}, {'Over': '19', 'Runs': '196', 'Wickets': '5'}, {'Over': '20', 'Runs': '204', 'Wickets': '7'}]","{'lb': 1, 'w': 6}","[['1-60', '(Mayank Agarwal, 5.3 ov)'], ['2-71', '(Abhishek Sharma, 7.2 ov)'], ['3-107', '(Aiden Markram, 11.4 ov)'], ['4-111', '(Rahul Tripathi, 12.5 ov)'], ['5-145', '(Abdul Samad, 16.5 ov)'], ['6-203', '(Shahbaz Ahmed, 19.3 ov)'], ['7-204', '(Heinrich Klaasen, 19.5 ov)']]","[{'name': 'Mitchell Starc', 'overs': '4', 'maiden': '0', 'runs': '53', 'wicket': '0', 'economy': '13.25', '0s': '8', '4s': '3', '6s': '4', 'WD': '2', 'NB': '0'}, {'name': 'Harshit Rana', 'overs': '4', 'maiden': '0', 'runs': '33', 'wicket': '3', 'economy': '8.25', '0s': '12', '4s': '3', '6s': '2', 'WD': '0', 'NB': '0'}, {'name': 'Varun Chakravarthy', 'overs': '4', 'maiden': '0', 'runs': '55', 'wicket': '1', 'economy': '13.75', '0s': '8', '4s': '1', '6s': '7', 'WD': '0', 'NB': '0'}, {'name': 'Sunil Narine', 'overs': '4', 'maiden': '0', 'runs': '19', 'wicket': '1', 'economy': '4.75', '0s': '8', '4s': '0', '6s': '0', 'WD': '0', 'NB': '0'}, {'name': 'Andre Russell', 'overs': '2', 'maiden': '0', 'runs': '25', 'wicket': '2', 'economy': '12.50', '0s': '4', '4s': '4', '6s': '1', 'WD': '0', 'NB': '0'}, {'name': 'Suyash Sharma', 'overs': '2', 'maiden': '0', 'runs': '18', 'wicket': '0', 'economy': '9.00', '0s': '3', '4s': '1', '6s': '1', 'WD': '0', 'NB': '0'}]"
